-0.0117854-1.56125e-17j -0.00476045-0.000168851j 0.000720185-0.000243547j -0.0148588+0.0017155j 0.00432807+0.000252437j -0.00358235-0.0023066j -0.0217262+0.00167638j 0.00199685-0.000210221j 0.0101199-0.00245476j 0.0124583+0.00104409j 0.0138715+0.00264818j -0.0219406+0.00178599j -0.0343754+0.00123827j 0.000266981-0.00375797j 0.00021818+0.00164054j 0.0126608-0.000880911j -0.0129832+0.000694804j -0.00724026-0.00134059j -0.0195359+0.00124138j 0.010896+0.00160457j 0.000160141+0.000662927j 0.00769387-6.95447e-05j 0.0185424-0.00243161j 0.00661086+0.00221808j -0.00451118+0.0002121j -0.0232284-0.000317594j 0.0149367+0.000230501j -0.00344375+0.00040992j 0.00653137-0.00345449j 0.00514684+0.000463396j 0.00239753-0.000926865j 0.00484125-0.000285059j 0.00187039-0.00197554j -0.0115236-0.000250006j -0.00949325+0.000744303j -0.00198918+0.00109575j 0.00290218+0.00168302j -0.00946082+0.000430672j -0.00112919+0.000250562j 0.00341691+0.000824491j 0.00868516-0.00139017j -0.011646+0.00085513j 0.00800035-0.00019972j 0.00355714+0.000303181j -0.00744306+0.00344676j -0.00200325+0.000634596j 0.000825744-0.00408273j -0.00491148+0.000747757j 0.00675379-6.55989e-05j 0.0086642+0.000589682j -0.0133536-0.000152934j -0.00260197-5.80559e-05j -0.0113638+0.000641438j -0.00100391-0.000696135j -0.0164185+0.00013424j -0.000400196+0.00291988j -0.00159161+0.00252274j -0.00937586+0.000661861j 0.0114982-0.00118184j 0.00774516-0.00130928j 0.00926349-0.00210525j 0.000704218-0.00136352j -0.0126103+0.0010901j 0.00922064-0.00542121j -0.00796526+0.00133486j 0.0157987-0.000814973j 0.0280675-0.00224118j 0.00175595+0.00164446j -0.00844338+0.0047991j -0.0219623-0.00242004j -0.0267412+0.000355131j -0.00394644+0.00272114j -0.0250199+0.00803353j 0.0154897+0.000221613j -0.0226464+0.00163246j 0.0153281-0.00118777j 0.0400507-0.00236393j -0.0377675-0.00273136j 0.0482535+0.0164599j 0.1155-0.0161107j 0.0360225-0.00872155j 0.0775302+0.0073706j -0.0188539+0.014168j -0.0604127+0.000544965j -0.0153802-0.000400412j -0.0104045+0.0060812j 0.0275442+0.0031751j 0.0290136-0.00425416j 0.00343609+0.00935274j -0.0489117-0.00191703j 0.000540216-0.000259078j -0.0629963-0.00905979j 
0.0360225+0.00872155j 0.0423189-0.00440147j 0.022103+0.00667859j 0.0547168+0.00187492j -0.0842431-0.00140996j 0.0340875+0.00129614j 0.023025-0.00785215j -0.0163769+0.00644443j -0.0386622-0.00217834j -0.100178+0.00274958j 0.00504287-0.00489785j 0.146+0.00850746j 0.169209-0.000334446j 0.136444-0.00489518j 0.011171-0.00439172j -0.0778467-0.00234561j 0.0839453-0.001124j -0.0587114+0.000679463j 0.0368411-0.00208057j 0.0326282+0.00646531j -0.0424635-0.000645362j 0.00664843-0.00171438j 0.0126381-0.00670637j 0.0043035-0.0108382j -0.0193249+0.00134681j -0.0460678-0.00999336j -0.163419+0.00177497j 0.0733609+0.000212109j 0.102125+0.00668973j 0.0343107+0.00426784j -0.0867248+0.000212381j -0.0254318-0.00227604j 0.0110858-0.00165207j -0.048472-0.0010471j 0.0230681-0.000140787j 0.0504567+0.00146607j 0.023456-0.00239525j 0.0528377-0.00447514j -0.0133484+0.00151054j 0.00619001-0.00220402j -0.0527394-0.00401864j -0.00566237+0.00276612j 0.0121279+0.00142327j -0.0167794-0.000915526j 0.0118278-0.00647752j -0.00901424+0.0136619j -0.0190044-0.00417495j 0.0142363+0.0417392j 0.00817965-0.000295096j -0.0198657-0.00107449j 0.0180319-0.00118579j -0.0432862-0.00292407j 0.0128846+0.00144762j 0.000400354-0.000999058j -0.0174699+0.00318246j 0.00377436-0.000715239j -0.00327086-0.00273214j -0.0161922-7.8925e-05j -0.00282804-0.00127276j -0.0354064-9.40265e-05j -0.00462714-0.00545813j 0.00310541+0.000933812j 0.01025-0.00156976j -0.0222827+0.000331056j -0.00173427-0.000445869j -0.00760038-0.00255891j 0.0374186-0.000227715j 0.0104821+0.0038575j -0.010373-0.00136091j -0.000494738+0.00431692j 0.0123666+0.0022744j 0.00803131+0.00211684j 0.00756147+0.00178134j -0.0105442-0.00151185j 0.0346837-0.00159754j -0.0293712-0.00278684j 0.0114264-0.000757323j 0.0214079+0.00164633j 0.00713049+0.000613775j -0.0231687+0.000586208j -0.0332956+3.55618e-17j 0.0304691-0.00362751j 0.0116069-0.000476711j 0.0132913-0.00159863j 0.0063883-0.00175755j 0.0198301+0.000914383j 0.000562239+0.000886073j -0.00498194+0.00159416j -0.025385+0.000170779j 0.000847536-0.000368151j 0.000694965+0.00279086j -0.0219406+0.00178599j 
0.0775302-0.0073706j -0.063347-0.0169279j 0.118825-0.00103835j -0.039143-0.0120265j -0.0601503-0.000714466j -0.0667462+0.00326911j -0.0536918+0.00579043j 0.0430117-0.00299256j -0.0879469+0.00108564j 0.030756-0.00558952j 0.345743+0.00695311j 0.00504287-0.00489785j 0.164766-0.00618387j -0.24121+0.000437073j 0.134266-0.00207044j -0.0947804+0.00417348j -0.0315326-0.000963262j -0.0760944-0.0042577j -0.0249918+0.000261904j 0.0800226-0.00171729j -0.0563741-0.000407992j -0.0131286+0.00269539j -0.10204-0.00343692j 0.00556084-0.00143546j -0.0294428+0.0037047j 0.0757877-0.0016478j 0.054795-0.00206657j 0.0092915+0.00381738j -0.0544174-0.00501011j -0.0223776-0.00214307j -0.13465-3.95402e-05j 0.0596965+0.00633282j -0.0083857+4.39586e-05j -0.036855-0.00442009j 0.0050706-0.00359407j 0.0232941+0.000518277j 0.052283+0.00652888j 0.0238252-0.000118594j 0.0303701+0.00443332j 0.0352005+0.00133113j 0.037821-0.000185121j -0.0640343-0.000216529j -0.0308603-0.00122538j 0.026852+0.000208568j -0.0218155+0.0092362j 0.00578933-0.0145351j 0.0173311-0.0227787j -0.0188221-0.0415559j 0.00490355-0.000475388j -0.0103947-0.00186985j -0.0157609+0.000283747j 0.0542481+0.00199665j -0.0196202-0.00171116j 0.0280291+0.00209961j -0.00130379+0.000879413j 0.0513607+0.00500683j -0.0101947-0.000268945j 0.0226381-0.000156862j 0.0018708-0.000630635j 0.0673875+0.00175318j 0.00609127+0.00105322j 0.0167025+0.00131159j -0.00183779-0.00206476j -0.0140083-0.000582984j 0.00679863+0.000417419j 0.0633527-0.000186261j -0.0110989+0.000696222j -0.0179828+0.00150217j -0.00147975+0.00305152j 0.00455695-0.00135167j -0.00662192-0.00153283j 0.0281986+0.000651992j -0.0360375-0.000297244j 0.0299409+0.00322384j -0.0331522+0.0011718j 0.025939-0.000185041j 0.00211149-0.00183225j 0.00193855+3.84456e-05j 0.00546218+0.0050946j 0.0286415-0.0020449j 0.0304691+0.00362751j 0.0604316+8.23994e-18j -0.0121682+0.00215528j -0.0479462+0.00177008j -0.00733439-0.000551177j 0.000783979-0.000556245j 0.0453513+0.00276522j 0.0129243+0.00153292j -0.00546246+0.00212846j -0.0244181-0.000878031j 0.0374205-0.0020259j 0.0138715+0.00264818j 
-0.0188539-0.014168j -0.0696535+0.0027219j -0.0544287-0.00411273j -0.0539268+0.00536756j 0.0306822-0.00389347j -0.007328-0.00499045j -0.0321052-0.00423641j 0.0172671+0.0045233j 0.0146574-0.00146715j 0.175718+0.00445989j 0.030756-0.00558952j -0.100178+0.00274958j -0.177708+0.00110341j -0.211892+0.00649535j 0.0299568-0.00154971j 0.0328653-0.00150285j -0.000176612+0.00265667j 0.098188-0.00381597j 0.0218088-0.00223275j 0.0416163+0.00238202j 0.0275894-0.0027291j -0.0430097+0.00371349j 0.0103503+0.00423772j 0.0491406-0.00184012j -0.0131208-0.000273551j -0.0691313-0.0076103j -0.115243+0.00116808j -0.081308+2.41713e-05j 0.0494313+0.00447305j -0.0443038-0.00373385j -0.0616183+0.00161198j 0.0318616+0.0035777j -0.0665535-0.00705779j 0.123683-0.00409698j 0.0562566-0.00314644j -0.0224932-0.0003148j -0.0518379-0.00386811j 0.0175642-0.00247785j 0.0056724+0.0018111j 0.0244439+0.00589362j 0.00559249-0.00207896j -0.0352151-0.00366007j -0.0353252+0.00295615j 0.0121871+0.00273485j -0.0109834+0.00514137j 0.010833-0.00741432j 0.00782239-0.00684935j -0.0100546-0.0228269j -0.0103945+0.000960678j 0.0121+0.00181305j -0.0026505-0.000748517j 0.00295986+0.00154327j 0.0205266-0.0019756j 0.00263121-0.000374366j -0.0071695+0.000318814j -0.0337335-0.00243964j -0.0204591+0.000204797j -0.0272407-0.0029439j 0.0443902+0.00412242j -0.0602233-0.00158908j 0.00888383+0.000839499j -0.00117168-0.00331054j -0.00452009+0.00251902j -0.0372888-0.00326089j 0.0119526+0.000307161j 0.0290408-0.000293753j -0.00243093+0.0028572j -0.0250168-0.000524708j -0.0170735-0.00205843j 9.76144e-05-0.00403456j -0.00720962-8.80119e-05j 0.00864017-0.0013886j -0.00967857+0.00267417j 0.00575913+0.000691973j 0.0228491+0.000851498j -0.00114861-0.00191416j -0.000928055+0.000906527j 0.0506106-0.0041309j -0.00944056+0.00015159j 0.00973646+0.00120669j 0.0116069+0.000476711j -0.0121682-0.00215528j 0.00259596+6.37511e-17j -0.00383621-0.0011285j -0.0240306+0.00453486j -0.0273928-0.00299482j 0.00122044-0.000186604j 0.0113859-0.00295976j 0.0262768+0.00209267j -0.0185267+0.00402536j 0.00713899-0.00200122j 0.0124583+0.00104409j 
-0.0604127-0.000544965j -0.00243215+0.0102252j -0.0168436+0.00231053j 0.0198741+0.00377176j 0.006356+0.0003697j 0.0419831+0.00315654j -0.0299594-0.000761957j 0.00107915-0.000654981j 0.111696+0.00120941j 0.0146574-0.00146715j -0.0879469+0.00108564j -0.0386622-0.00217834j -0.173711+0.00399947j 0.0731624+9.6892e-07j -0.0645316+0.000628963j 0.0367994-0.00443462j 0.00692869+0.00170196j -0.0618506-0.00157818j -0.0247041-0.000892504j 0.087227-0.00902678j 0.0444098-0.00232332j 0.0719869-0.000442271j -0.0593978-0.0013229j 0.0372896+0.000926535j 0.0425884+0.00331793j -0.0293836-0.00550327j 0.00818145+0.00130038j -0.0363725+0.00619191j -0.0705154-0.000911715j 0.0858598-0.000538502j -0.0987082-0.00531182j 0.0234989+0.00427604j 0.110795-0.00255016j 0.0419567+0.00760905j 0.0143081+0.00123604j -0.0417708-0.00697567j 0.0163328-0.00678677j -0.0330274-0.00216852j -0.0449848+0.00489973j -0.0260205+0.00166634j 0.0142002+0.00232756j 0.0257161+0.00112184j -0.0313781-0.00354443j 0.0037393-0.000424259j -0.0131634-0.0095856j 0.00132571+0.00249216j 0.000917678-0.028352j 0.0019528-0.000210869j 0.0008251+0.00308692j 0.000827847+0.000454222j 0.0215868+0.00170898j -0.00770197+0.00355941j 0.00715135-0.000230445j -0.00380271-0.000827597j 0.00198416-0.000485935j 0.00762587-0.000879835j 0.0211701-0.00109967j 0.0370847-0.00097086j -0.0159335+0.00326326j 0.0356828-0.000249417j -0.0431914-0.000829251j 0.0195769-0.000522648j -0.0292789-0.000455564j 0.0255708+0.00104781j -0.00614973-0.00130047j -0.0165924+0.00060142j 0.0129011-0.000746928j 0.0162121+0.00352758j -0.00489633-0.0022373j 0.0222532+0.00187594j 0.0166949-0.00145801j -0.0441787+0.00176506j -0.00687792-0.000915323j 0.0495716+0.00253968j -0.0394153-0.000619575j 0.0135289-0.000467811j -0.00950819+0.000840111j -0.0246786-0.000783068j -0.00369666+0.000507946j -0.00682833+0.00188522j 0.0132913+0.00159863j -0.0479462-0.00177008j -0.00383621+0.0011285j -0.0221701-5.09575e-18j 0.035582-0.000404975j -0.0309693+0.0016389j -0.0130715+0.000588662j -0.00711165+0.00164115j 0.002688-0.00293457j 0.0222865+0.00118531j -0.00992923-0.00103126j 0.0101199-0.00245476j 
-0.0153802+0.000400412j 0.023217+0.000751383j 0.0150309+0.00547926j -0.0566913+0.00297822j 0.00633761-0.00576457j 0.00889931+0.00763184j 0.0124031-0.00372328j -0.0501464-0.00362807j -0.00107915+0.000654981j -0.0172671-0.0045233j -0.0430117+0.00299256j 0.0163769-0.00644443j -0.0161155-0.0022018j 0.0560781+0.00175726j -0.00578797-0.00313189j -0.0299116-0.00613863j -0.0715794+0.0028609j 0.00875602-0.00816455j 0.0214842+0.00191884j 0.0304351+0.0133168j -0.106333-0.00142514j 0.11256+0.00544427j 0.169807-0.000780893j 0.0356416+0.00712088j 0.0120688-0.000116013j 0.112963-0.00388737j -0.0445807-0.00615881j -0.0190709-0.000661197j -0.0420996+0.00515578j -0.0189284-0.000949504j 0.00118308-0.000999921j -0.0305031+0.00734057j 0.0346263+0.0105417j -0.041705-0.000814154j -0.0218406-0.00389087j 0.00935488+0.00032041j 0.0156113+0.00165858j 0.0221001+0.0016573j -0.0450365-0.000304666j 0.0090998-0.000740106j 0.0500413-0.000204545j 0.000604765+0.00250133j 0.0243947-0.0013672j 0.00340684-0.00137868j -0.0172182+0.00431657j -0.0103446-0.0252955j 0.0269273-0.0377434j -0.0130639-0.0557228j -0.0177867+0.00155618j 0.00247735-0.000166578j 0.0286774-0.000127664j 0.0152494-0.000729235j 0.0100709-0.000979182j -0.00585891+0.00147035j -0.0118909-0.00201j 0.00497846+0.00129242j 0.0113907-0.00108556j -0.00513538+0.000566198j 0.005334+0.00289097j -0.00903799+0.00389851j 0.0180945-0.0031517j -0.01829+0.00235023j 0.00344661-0.00350248j -0.00915214+0.000429252j -0.00254683+0.00037958j -0.0104544+0.00176468j 0.00712863+0.00317312j -0.0370149+0.00128049j -0.0198443-0.000167207j -0.0221353+0.00154229j 0.0101033+0.00141692j -0.0294368-0.00158849j 0.0108427-0.00222677j -0.0178264+0.00140475j 0.0257139+0.00137857j 0.0042204-0.00561177j -0.00153742-0.00230582j 0.00616448+0.00103523j -0.0342568+0.000685893j -0.0126457+0.0022959j 0.0063883+0.00175755j -0.00733439+0.000551177j -0.0240306-0.00453486j 0.035582+0.000404975j 0.0179633+1.95156e-18j 0.0068386+0.00199447j -0.028722+0.00115037j -0.00318313+0.00269379j 0.00408426-0.00168507j -0.000199506+0.00398238j -0.0148446+0.00147887j -0.00199685+0.000210221j 
-0.0104045-0.0060812j -0.0329892-0.000285107j 0.0374701-0.00822235j -0.00551003+0.00777179j 0.00280153-0.00394006j 0.00033237-0.00294644j -0.0310293-0.011088j 0.0124031-0.00372328j 0.0299594+0.000761957j 0.0321052+0.00423641j 0.0536918-0.00579043j -0.023025+0.00785215j -0.0405829-0.00273437j -0.0918842+0.00172027j 0.0602303-0.00521695j 0.0118982-0.00245316j 0.0461089+0.00570445j -0.0507625-0.000321647j -0.0477178-0.00368747j 0.167872+0.0116267j -0.0407817+0.00995551j 0.0339335-0.00433208j -0.0348768-0.0038236j -0.0466652-0.0003892j 0.0536814-0.00544563j -0.0681821-0.00656978j 0.0124568+0.00328161j -0.0528572-0.00955981j 0.0687234+0.00569519j 0.0151591+0.00518161j 0.0384422+0.000735814j 0.0293701+0.000723679j 0.0652364+0.000230715j -0.0338189+0.000433779j -0.0384498+0.00225913j -0.0107316-0.000584567j 0.0154531+0.00119659j -0.0252913-0.00136836j -0.00424134-0.00261922j -0.00922377-0.000273394j -0.000904312-0.00328418j 0.00377568-0.000796977j 0.0100426-0.000385797j 0.0160714-0.00189485j -0.0183077-1.94175e-05j -0.0176457-0.00404014j 0.00526117-0.0142811j -0.00240916-0.00121511j -0.00179796+0.000209371j -0.00167328+0.00121699j -0.0297401-0.00299093j 0.00913539-0.00303386j -0.027075-0.000179346j -0.000997803-0.00248793j 0.0113652+0.00217201j 0.0130001-0.00196747j -0.0123699+0.000587801j 0.0199405+0.00341381j -0.0069925-0.00128296j 0.0605437+0.000719787j -0.0229619-0.00491203j 0.0252282+0.0026451j -0.0283618-0.00192444j 0.0285773-0.00101927j -0.00258491-0.000708552j 0.0109913+0.00136659j 0.01395+0.0026946j 0.00305788+0.00120361j -0.00201772-0.000602421j 0.00453771+0.0002911j -0.0048963+0.000244821j 0.00813044+0.000325295j -0.0190938+0.000534717j 0.0223776+0.00274869j -0.0495495-0.0014395j 0.0109747+0.00157037j 0.0123267+0.00187152j -0.0174191+0.00171815j 0.00150863+0.00500919j 0.0413697+0.00166241j 0.0198301-0.000914383j 0.000783979+0.000556245j -0.0273928+0.00299482j -0.0309693-0.0016389j 0.0068386-0.00199447j -0.0133336-6.93889e-18j 0.0153974+0.000807638j 0.00614404+0.000325508j 0.00488354+0.00101755j 0.00127584-0.000678345j 0.00435959-0.00177736j 0.0217262-0.00167638j 
0.0275442-0.0031751j -0.0191277-0.00778225j -0.00752678+0.00185634j -0.013819-0.00553839j -0.0125116-0.00173194j -0.00161779-0.00785501j 0.00033237-0.00294644j 0.00889931+0.00763184j -0.0419831-0.00315654j 0.007328+0.00499045j 0.0667462-0.00326911j -0.0340875-0.00129614j 0.064546-0.00650567j -0.0485699-0.00575191j 0.0476411+0.00622852j -0.047878-0.00138118j -0.0126343-0.00748875j 0.0818743-0.00185037j -0.0473021+0.00147536j 0.000704919+0.0040298j 0.0652123+0.00129793j -0.057592+0.00311305j 0.0230973+0.00227931j 0.00446321+0.01108j -0.0506879-0.00569108j 0.0179839-0.000475495j 0.0785779+0.00652753j -0.103617-0.000645524j 0.0150664-0.003132j 0.0453105+0.00248603j -0.0179119-0.00732004j -0.078254+0.00142922j -0.0462363-0.00229251j -0.024478+0.00300847j 0.0150564+0.00328191j 0.033558+0.00141381j 0.00601739-0.000131775j 2.8726e-05+0.00390268j -0.035232-0.000750175j 0.0130847+0.00357174j -0.0104259-0.00250201j -0.0111458-0.000689477j 0.00516457-0.000967811j -0.00995304-0.00341553j 0.0171298-0.0023823j -0.00822031+0.00840687j -0.00890566-0.003164j 0.0102337+0.0219325j -0.0134033+0.00270448j 0.0130529+0.000446552j -0.00285715+0.00293739j -0.0246224-0.00124156j 0.00609059+0.0031305j -0.0253126-0.00106709j 0.00751078-0.00206683j -0.00306446+2.6316e-05j 0.00322658+0.00203371j 0.00776817+0.000281599j 0.0101707+0.000930241j -0.0231113-0.000688741j -0.018293-0.00357361j 0.0113979-0.00315237j -0.00545495+0.000222166j -0.0349732-0.00147222j -0.0121691-0.000761718j 0.0125366-0.00246861j -0.000747847-0.000820075j -0.0253421+0.000759619j -0.006326+0.0016252j -0.0246467+0.00017109j 0.0037142+0.00363553j -0.00656247-0.00273583j 0.0121529+0.0026185j -0.0116322+0.00214719j 0.0244842+0.00106227j 0.0249734-0.00275162j -0.00276724-0.000610738j 0.0166996-0.000828848j 0.0364955+0.00283233j 0.00988597-0.00281515j 0.000562239-0.000886073j 0.0453513-0.00276522j 0.00122044+0.000186604j -0.0130715-0.000588662j -0.028722-0.00115037j 0.0153974-0.000807638j -0.00137379-8.67362e-19j 0.00758882+0.000271042j 0.00321439+0.00181307j -0.0247118-0.000193887j 0.0156977-0.000316809j 0.00358235+0.0023066j 
0.0290136+0.00425416j 0.0105438-0.00580113j 0.0486327-0.00756774j 0.00983389+0.00738938j 0.0133972-0.0143408j -0.0125116-0.00173194j 0.00280153-0.00394006j 0.00633761-0.00576457j -0.006356-0.0003697j -0.0306822+0.00389347j 0.0601503+0.000714466j 0.0842431+0.00140996j 0.0849793+0.000489999j 0.0563292-0.00579716j 0.0513812-0.00356835j -0.0791958-0.00614091j 0.012295+0.006966j -0.0724518-0.00395744j 0.0239687+0.0114408j 0.0613858+0.00430987j -0.0150426+0.0103965j 0.00578662-0.00659736j -0.00499752-0.0107899j 0.112961+0.00299641j -0.07184-0.00502893j -0.0236141-0.00192345j 0.0162495-0.00898185j 0.0124846+0.00260483j 0.0217042-0.000357338j -0.00389398-0.00331779j -0.027422+0.001146j 0.0282825+0.00569884j 0.0072796+0.0015557j 0.0145639+0.00747955j 0.010727+0.000386541j 0.0123703+0.00175083j -0.00520354+0.000922815j 0.0164783+0.00254984j -0.00564587+0.00363829j -0.00383059-0.00156791j -0.0362701-0.00366964j 0.00739858-0.00161775j -0.023034-0.00377486j -0.0205663+0.000659157j 0.0045683-0.00576086j 0.0160757+0.0225983j -0.0233146+0.0274734j 0.00419491+0.0470405j 0.0291207+0.00122836j 0.0147338-0.00198807j -0.00426165-0.000819757j -0.0160556-0.000336571j -0.00914991+0.00126471j 0.00461808+0.00270569j -0.00909064-0.00063138j -0.000767556-0.000366551j 0.00654192-0.000913919j 0.00277389-0.0016529j 0.0144962-0.00258371j 0.00181248-0.00263632j -0.0169235+0.00203762j 0.00277967-0.000479887j -0.00231959+0.00338996j 0.00379931-0.00064813j -0.0117021+0.00133122j -0.00674915+0.00124827j -0.0163283-0.000677977j 0.0252519+0.00149805j 0.0192423+0.000752117j 0.0165028+0.00452883j 0.00520065-0.000668266j -0.00885644+0.00328985j 0.000970256+0.000477039j 0.0183014-0.000808323j 0.00316725-0.00235339j -0.0181461+0.000314638j -0.00424792+0.00132403j -0.0105286+0.00233818j 0.0207294-0.000165308j -0.00670005-0.00104526j -0.00498194-0.00159416j 0.0129243-0.00153292j 0.0113859+0.00295976j -0.00711165-0.00164115j -0.00318313-0.00269379j 0.00614404-0.000325508j 0.00758882-0.000271042j 0.0114773-3.46945e-18j -0.0221129+0.000913522j 5.33723e-07-0.00333023j 0.00914404+0.000702115j -0.00432807-0.000252437j 
0.00343609-0.00935274j 0.0449461-0.000851885j -0.00412863-0.00323802j -0.0113242+0.00751624j -0.00983389-0.00738938j 0.013819+0.00553839j 0.00551003-0.00777179j 0.0566913-0.00297822j 0.0198741+0.00377176j -0.0539268+0.00536756j -0.039143-0.0120265j 0.0547168+0.00187492j 0.054606-0.0118445j 0.0989297+0.000174321j -0.0780083-0.00806538j -0.0330315+0.00382516j 0.0831472+0.00733501j -0.0614042+0.00957573j 0.00349791+0.00524134j 0.0257963-0.003908j 0.0893311+0.0140552j -0.0240281-0.0060114j -0.0831347-0.000134625j -0.0536175-0.000687332j 0.0175937-0.00555184j 0.0197103+0.00060587j -0.0377055-0.00576653j -0.0111241-0.00698971j -0.0243679+0.00397809j 0.015855-0.0025097j 0.00208457+0.00421585j -0.0135515+0.00120055j -0.0225415+0.00447581j 0.0106454+0.00106406j 0.0169558-0.000836831j -0.00870015-0.000427909j 0.00499856+0.00331517j -0.0183207-0.000153835j 0.0182464-0.0018175j 0.00437066-0.00169819j -0.00116402+0.00260039j -0.00410274+0.000410302j 0.00613482-0.000338571j 0.011466-0.00161961j 0.0192025+0.000935088j -0.00673646-0.00502172j -0.00211965+0.00107433j 0.00535179-0.00757582j -0.0187532-0.00241365j -0.0137076+0.00125375j 0.00969743-0.000866243j -0.0013435-0.00275927j 0.0194148+0.00095268j -0.0153712-0.00264178j 0.0213469+0.00111521j -0.0123082-0.00360466j -0.00697121-0.00198671j -0.00772197-0.00146657j -0.0112727+0.00283584j -0.0375726-0.00304776j 0.00895348+0.000432294j -0.000823713+0.000415735j 0.0145806-0.000121888j -0.0235925+0.000282592j 0.0157403+0.000128656j -0.000187009+0.00025167j 0.0158457+2.20255e-05j -0.00433832-0.00384749j -0.0213631-0.00131641j -0.000880485-0.00262873j 0.000668367+4.41865e-05j 0.0236236-0.00153627j 0.0147563-0.000898784j -0.0213597-0.0026743j 0.00670838+0.00204025j 0.00252258+0.00010906j -0.00257166-0.000696286j 0.008905+0.00287366j 0.00178302-0.00236716j -0.0246186-0.000809464j -0.025385-0.000170779j -0.00546246-0.00212846j 0.0262768-0.00209267j 0.002688+0.00293457j 0.00408426+0.00168507j 0.00488354-0.00101755j 0.00321439-0.00181307j -0.0221129-0.000913522j 0.0030429+2.94903e-17j 0.00607766+0.00100376j -0.00060442-0.000743327j -0.0148588+0.0017155j 
-0.0489117+0.00191703j 0.00449004-0.00990726j 0.0349131-0.0150898j 0.00412863+0.00323802j 0.0486327-0.00756774j -0.00752678+0.00185634j 0.0374701-0.00822235j 0.0150309+0.00547926j 0.0168436-0.00231053j 0.0544287+0.00411273j -0.118825+0.00103835j -0.022103-0.00667859j -0.0906113-0.00378816j 0.0108808-0.0142318j -0.0388649+0.00474204j 0.0212047+0.00369973j 0.0467636-0.00922665j 0.0927544+0.0111082j 0.0620283+0.00431175j -0.0400632-0.00413668j 0.0692089-0.00292804j -0.0361464-0.00163151j 0.0148058+0.00767172j 0.000242777+0.0040187j -0.0381764-0.0060589j -0.00845347-0.00148817j -0.0460768+0.00052698j -0.0222578-0.0012379j 0.0548824+0.00504523j -0.0196034-0.00223567j 0.0248855+0.000636828j 0.0142775+0.00516097j 0.0575408+0.00641212j 0.00819396+0.000403301j -0.0171621-0.00306879j 0.00568649+0.00220398j 0.0181355+0.000806673j 0.0107132+0.0038463j -0.0134942-0.00231541j -0.0210139-0.000780558j 0.0122848-0.000246259j 0.00231059-0.000874016j -0.00642337-0.000701626j -0.0190742-0.00266783j -0.0221428-0.00268869j -0.00422157-0.000427909j 0.00614383+0.00245558j -0.00487858+0.000493347j -0.00309718+0.00292764j 0.00780835+0.000270378j -0.00607169-0.00183955j -0.0126706-0.00116617j -0.001371-0.00131362j -0.0069927+0.00239528j 0.000273476-0.00358497j -0.0133778+4.65982e-05j -0.0114532-3.74942e-06j 0.00098137+0.00116707j 0.00655845+0.00162985j 0.0105489+0.00451095j -0.0077013-0.00268503j 0.0027217+0.000706713j -0.00565559-0.000260866j 0.0221251+0.000515586j -0.0049982-0.00127103j -0.0026997+0.00327876j -0.00361602+0.000543118j -0.0114241-0.000357549j 0.00394146+0.000302911j -0.00299561+0.00146709j 0.00489874+0.000373779j -0.0219822-0.000964049j -0.0118117-0.00166528j -0.0122645+0.00132229j 0.0115983-0.00020375j -0.00535083-0.00252448j -0.00731031+0.000591141j 0.0185039+0.00404817j -0.0264494+7.82852e-05j 0.00182649+0.0038574j 0.000847536+0.000368151j -0.0244181+0.000878031j -0.0185267-0.00402536j 0.0222865-0.00118531j -0.000199506-0.00398238j 0.00127584+0.000678345j -0.0247118+0.000193887j 5.33723e-07+0.00333023j 0.00607766-0.00100376j 0.00651846-7.80626e-18j -0.0161886+0.00186598j -0.000720185+0.000243547j 
